MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1999-12-15_16 -1.4 0 0 32 1550 1 1 NA eor 1550 10 26 90 eor
1999-12-15_17 -1.5 0.2 0 32 1550 1 1 NA eor 1550 10 26 92 eor
1999-12-15_18 -1.7 0.2 0 32 1550 1 1 NA eor 1550 10 26 92 eor
1999-12-15_19 -1.8 0.3 0 32 1550 1 1 NA eor 1550 10 26 93 eor
1999-12-15_20 -1.9 0.2 0 32 1550 1 1 NA eor 1550 10 26 93 eor
1999-12-15_21 -2 10.2 1 32 1550 1 1 NA eor 1550 10 26 92 eor
1999-12-15_22 -2.2 0 0 32 1550 1 1 NA eor 1550 10 26 92 eor
1999-12-15_23 -2.1 0 0 32 1550 1 1 NA eor 1550 10 26 93 eor
1999-12-16_00 -2.3 0.4 0 32 1550 1 1 NA eor 1550 10 26 92 eor
1999-12-16_01 -2.4 0.2 0 32 1550 1 1 NA eor 1550 10 26 92 eor
1999-12-16_02 -2.6 0 0 32 1550 1 1 NA eor 1550 10 26 92 eor
