MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1999-01-12_16 -1 NA 0 6 NA NA NA NA NA 298 10 26 94 eor
1999-01-12_17 -0.5 NA 0 6 NA NA NA NA NA 298 10 26 94 eor
1999-01-12_18 -0.6 NA 0 6 NA NA NA NA NA 298 10 26 94 eor
1999-01-12_19 -0.7 NA 0 6 NA NA NA NA NA 298 10 26 94 eor
1999-01-12_20 -0.8 NA 0 6 NA NA NA NA NA 298 10 26 94 eor
1999-01-12_21 -1 10.2 1 6 298 1 1 NA eor 298 10 26 94 eor
1999-01-12_22 -1.4 NA 0 6 NA NA NA NA NA 298 10 26 94 eor
1999-01-12_23 -1.7 NA 0 6 NA NA NA NA NA 298 10 26 94 eor
1999-01-13_00 -2 NA 0 6 NA NA NA NA NA 298 10 26 93 eor
1999-01-13_01 -2.3 NA 0 6 NA NA NA NA NA 298 10 26 93 eor
1999-01-13_02 -2.4 NA 0 6 NA NA NA NA NA 298 10 26 93 eor
