MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
2007-12-02_21 0.1 3.8 0 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-02_22 0.2 7.1 0 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-02_23 0.1 2.1 0 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-03_00 0.1 9.4 0 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-03_01 0 8.1 0 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-03_02 0 10.5 1 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-03_03 0.1 8.9 0 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-03_04 0.1 6 0 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-03_05 0.1 3.4 0 141 1832 3 1 7 eor 1832 7 38 100 eor
2007-12-03_06 0.1 5.8 0 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-03_07 -1.5 0.4 0 141 1832 3 1 7 eor 1832 7 38 100 eor
2007-12-06_16 0.1 0 0 141 1832 3 0 0 eor 1832 7 38 100 eor
2007-12-06_17 0.1 0 0 141 1832 3 0 0 eor 1832 7 38 100 eor
2007-12-06_18 0.1 0 0 141 1832 3 0 NA eor 1832 7 38 100 eor
2007-12-06_19 0.2 0 0 141 1832 3 0 NA eor 1832 7 38 100 eor
2007-12-06_20 0.1 2.5 0 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-06_21 0.1 11 1 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-06_22 0.2 14.4 1 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-06_23 0.2 5 0 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-07_00 0.6 7.7 0 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-07_01 0.8 5.8 0 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-07_02 0.8 7.1 0 141 1832 3 1 NA eor 1832 7 38 100 eor
2007-12-07_03 1.1 3.9 0 141 1832 3 1 NA eor 1832 7 38 100 eor
