MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1997-01-14_05 -9.7 0 0 79 4104 1 1 NA eor 4104 10 26 93 eor
1997-01-14_06 -9.6 0 0 79 4104 1 1 NA eor 4104 10 26 92 eor
1997-01-14_07 -9.4 0 0 79 4104 1 1 NA eor 4104 10 26 92 eor
1997-01-14_08 -9.6 0 0 79 4104 1 1 NA eor 4104 10 26 92 eor
1997-01-14_09 -9 0 0 79 4104 1 1 NA eor 4104 10 26 92 eor
1997-01-14_10 -8.8 21.2 1 79 4104 1 1 NA eor 4104 10 26 91 eor
1997-01-14_11 -8.3 41.3 1 79 4104 1 1 NA eor 4104 10 26 91 eor
1997-01-14_12 -8 0 0 79 4104 1 1 NA eor 4104 10 26 90 eor
1997-01-14_13 -6.7 0 0 79 4104 1 1 NA eor 4104 10 26 89 eor
1997-01-14_14 -6.9 0 0 79 4104 1 1 NA eor 4104 10 26 83 eor
1997-01-14_15 -6.4 0 0 79 4104 1 0 NA eor 4104 10 26 84 eor
1997-01-14_16 -8.2 0 0 79 4104 1 0 NA eor 4104 10 26 90 eor
