MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1995-11-07_16 1 0.6 0 4 222 1 1 NA eor 222 7 26 91 eor
1995-11-07_17 1 0.2 0 4 222 1 1 NA eor 222 7 26 91 eor
1995-11-07_18 1.2 0.2 0 4 222 1 1 NA eor 222 7 26 92 eor
1995-11-07_19 1.2 0 0 4 222 1 1 NA eor 222 7 26 92 eor
1995-11-07_20 0.9 0 0 4 222 1 0 NA eor 222 7 26 91 eor
1995-11-07_21 1 19.9 1 4 222 1 1 NA eor 222 7 26 91 eor
1995-11-07_22 1.2 NA 0 4 NA NA NA NA NA 222 7 26 92 eor
1995-11-07_23 1 NA 0 4 NA NA NA NA NA 222 7 26 91 eor
1995-11-08_00 0.9 NA 0 4 NA NA NA NA NA 222 7 26 91 eor
1995-11-08_01 0.8 0 0 4 222 1 1 NA eor 222 7 26 91 eor
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1995-11-08_02 1 0 0 4 222 1 1 NA eor 222 7 26 91 eor
1995-11-08_04 0.8 NA 0 4 NA NA NA NA NA 222 7 26 91 eor
1995-11-08_05 0.8 NA 0 4 NA NA NA NA NA 222 7 26 91 eor
1995-11-08_06 0.8 0 0 4 222 1 0 NA eor 222 7 26 91 eor
1995-11-08_07 0.7 NA 0 4 NA NA NA NA NA 222 7 26 93 eor
1995-11-08_08 0.9 NA 0 4 NA NA NA NA NA 222 7 26 91 eor
1995-11-08_09 1.2 40 1 4 222 1 1 NA eor 222 7 26 92 eor
1995-11-08_10 1.5 NA 0 4 NA NA NA NA NA 222 7 26 92 eor
1995-11-08_11 2.3 0 0 4 222 1 0 NA eor 222 7 26 90 eor
1995-11-08_12 2.4 0 0 4 222 1 0 NA eor 222 7 26 84 eor
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1995-11-08_13 2.9 0 0 4 222 1 0 NA eor 222 7 26 79 eor
1995-11-08_14 3.3 0 0 4 222 1 0 NA eor 222 7 26 78 eor
1995-11-09_01 1.9 NA 0 4 NA NA NA NA NA 222 7 26 92 eor
1995-11-09_02 2.7 NA 0 4 NA NA NA NA NA 222 7 26 93 eor
1995-11-09_03 2.6 NA 0 4 NA NA NA NA NA 222 7 26 93 eor
1995-11-09_04 2.7 0.8 0 4 222 1 1 NA eor 222 7 26 93 eor
1995-11-09_05 2.9 NA 0 4 NA NA NA NA NA 222 7 26 93 eor
1995-11-09_06 4.2 20.4 1 4 222 1 1 NA eor 222 7 26 92 eor
1995-11-09_07 2.9 NA 0 4 NA NA NA NA NA 222 7 26 93 eor
1995-11-09_08 3.7 NA 0 4 NA NA NA NA NA 222 7 26 92 eor
1995-11-09_09 3.3 NA 0 4 NA NA NA NA NA 222 7 26 93 eor
1995-11-09_10 3.4 NA 0 4 NA NA NA NA NA 222 7 26 93 eor
1995-11-09_11 3.3 0 0 4 222 1 1 NA eor 222 7 26 93 eor
1995-11-09_12 3.7 NA 0 4 NA NA NA NA NA 222 7 26 92 eor
1995-11-09_13 3.8 NA 0 4 NA NA NA NA NA 222 7 26 92 eor
1995-11-09_14 4.1 NA 0 4 NA NA NA NA NA 222 7 26 92 eor
1995-11-09_15 3.5 0 0 4 222 1 1 NA eor 222 7 26 92 eor
1995-11-09_16 3.1 40 1 4 222 1 1 NA eor 222 7 26 93 eor
1995-11-09_17 3 NA 0 4 NA NA NA NA NA 222 7 26 93 eor
1995-11-09_18 2.9 NA 0 4 NA NA NA NA NA 222 7 26 93 eor
1995-11-09_19 3 NA 0 4 NA NA NA NA NA 222 7 26 93 eor
1995-11-09_20 2.9 NA 0 4 NA NA NA NA NA 222 7 26 93 eor
1995-11-09_21 2.7 NA 0 4 NA NA NA NA NA 222 7 26 93 eor
