MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
2008-04-06_07 2.7 0.1 0 107 4931 3 1 6 eor 4931 7 38 88 eor
2008-04-06_08 3.6 0 0 107 4931 3 1 6 eor 4931 7 38 83 eor
2008-04-06_09 3.6 0.2 0 107 4931 3 1 NA eor 4931 7 38 85 eor
2008-04-06_10 4.3 0 0 107 4931 3 1 6 eor 4931 7 38 77 eor
2008-04-06_11 4.7 0 0 107 4931 3 1 6 eor 4931 7 38 72 eor
2008-04-06_12 2.3 22.7 1 107 4931 3 1 NA eor 4931 7 38 85 eor
2008-04-06_13 1.6 2.5 0 107 4931 3 1 8 eor 4931 7 38 90 eor
2008-04-06_14 3.2 0.9 0 107 4931 3 1 8 eor 4931 7 38 87 eor
2008-04-06_15 3.7 0.1 0 107 4931 3 1 NA eor 4931 7 38 83 eor
2008-04-06_16 3.8 0.7 0 107 4931 3 1 6 eor 4931 7 38 84 eor
2008-04-06_17 4.3 0 0 107 4931 3 1 6 eor 4931 7 38 79 eor
