MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1997-01-03_17 -7.4 0 0 39 1766 1 1 NA eor 1766 10 26 80 eor
1997-01-03_18 -7 0 0 39 1766 1 1 NA eor 1766 10 26 79 eor
1997-01-03_19 -6.6 0 0 39 1766 1 0 NA eor 1766 10 26 78 eor
1997-01-03_20 -6.3 0 0 39 1766 1 0 NA eor 1766 10 26 79 eor
1997-01-03_21 -6.2 0 0 39 1766 1 0 NA eor 1766 10 26 80 eor
1997-01-03_22 -6 10 1 39 1766 1 1 NA eor 1766 10 26 81 eor
1997-01-03_23 -5.8 NA 0 39 NA NA NA NA NA 1766 10 26 82 eor
1997-01-04_00 -5.7 NA 0 39 NA NA NA NA NA 1766 10 26 83 eor
1997-01-04_01 -5.7 0 0 39 1766 1 0 NA eor 1766 10 26 83 eor
1997-01-04_02 -5.8 NA 0 39 NA NA NA NA NA 1766 10 26 85 eor
1997-01-04_03 -5.9 NA 0 39 NA NA NA NA NA 1766 10 26 85 eor
