MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1997-12-26_06 8 0 0 78 4024 1 1 NA eor 4024 10 26 76 eor
1997-12-26_07 8.2 0 0 78 4024 1 1 NA eor 4024 10 26 74 eor
1997-12-26_08 7.8 NA 0 78 NA NA NA NA NA 4024 10 26 75 eor
1997-12-26_09 7.6 0 0 78 4024 1 0 NA eor 4024 10 26 76 eor
1997-12-26_10 7.6 0 0 78 4024 1 1 NA eor 4024 10 26 78 eor
1997-12-26_11 6.5 40.6 1 78 4024 1 1 NA eor 4024 10 26 87 eor
1997-12-26_12 7.7 NA 0 78 NA NA NA NA NA 4024 10 26 80 eor
1997-12-26_13 8.2 NA 0 78 NA NA NA NA NA 4024 10 26 75 eor
1997-12-26_14 7.7 0 0 78 4024 1 0 NA eor 4024 10 26 78 eor
1997-12-26_15 7.7 NA 0 78 NA NA NA NA NA 4024 10 26 77 eor
1997-12-26_16 7.7 0.1 0 78 4024 1 1 NA eor 4024 10 26 75 eor
