MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1999-02-11_05 -5.8 0 0 125 3379 1 1 NA eor 3379 10 26 89 eor
1999-02-11_06 -5.8 0 0 125 3379 1 1 NA eor 3379 10 26 89 eor
1999-02-11_07 -5.6 0 0 125 3379 1 1 NA eor 3379 10 26 89 eor
1999-02-11_08 -5.9 0.1 0 125 3379 1 1 NA eor 3379 10 26 90 eor
1999-02-11_09 -5.1 0.4 0 125 3379 1 1 NA eor 3379 10 26 85 eor
1999-02-11_10 -5 8 1 125 3379 1 1 NA eor 3379 10 26 85 eor
1999-02-11_11 -5 0 0 125 3379 1 1 NA eor 3379 10 26 82 eor
1999-02-11_12 -3.8 0 0 125 3379 1 1 NA eor 3379 10 26 68 eor
1999-02-11_13 -3.9 0 0 125 3379 1 1 NA eor 3379 10 26 65 eor
1999-02-11_14 -3.6 0 0 125 3379 1 1 NA eor 3379 10 26 62 eor
1999-02-11_15 -3.6 0 0 125 3379 1 0 NA eor 3379 10 26 63 eor
2000-01-26_11 -8.4 0 0 125 3379 1 0 NA eor 3379 10 26 78 eor
2000-01-26_12 -6.3 0 0 125 3379 1 0 NA eor 3379 10 26 67 eor
2000-01-26_13 -4.4 0 0 125 3379 1 0 NA eor 3379 10 26 58 eor
2000-01-26_14 -4.5 0 0 125 3379 1 0 NA eor 3379 10 26 61 eor
2000-01-26_15 -3.7 0 0 125 3379 1 0 NA eor 3379 10 26 58 eor
2000-01-26_16 -4.3 16.3 1 125 3379 1 1 NA eor 3379 10 26 60 eor
2000-01-26_17 -6 0 0 125 3379 1 0 NA eor 3379 10 26 68 eor
2000-01-26_18 -7.6 0 0 125 3379 1 0 NA eor 3379 10 26 75 eor
2000-01-26_19 -8.1 0 0 125 3379 1 0 NA eor 3379 10 26 80 eor
2000-01-26_20 -8.1 0 0 125 3379 1 0 NA eor 3379 10 26 86 eor
2000-01-26_21 -9.2 0 0 125 3379 1 0 NA eor 3379 10 26 85 eor
