MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
2001-05-12_23 10 0 0 25 1262 1 0 0 eor 1262 10 38 68 eor
2001-05-13_00 9.6 0 0 25 1262 1 0 NA eor 1262 10 38 69 eor
2001-05-13_01 9.3 0 0 25 1262 1 0 0 eor 1262 10 38 70 eor
2001-05-13_02 8.2 0 0 25 1262 1 0 0 eor 1262 10 38 73 eor
2001-05-13_03 7.5 0 0 25 1262 1 0 NA eor 1262 10 38 75 eor
2001-05-13_04 6.9 32.4 1 25 1262 1 1 0 eor 1262 10 38 77 eor
2001-05-13_05 8.5 0 0 25 1262 1 0 0 eor 1262 10 38 73 eor
2001-05-13_06 10.7 0.1 0 25 1262 1 1 NA eor 1262 10 38 65 eor
2001-05-13_07 12.7 0 0 25 1262 1 0 0 eor 1262 10 38 54 eor
2001-05-13_08 14.7 0 0 25 1262 1 0 0 eor 1262 10 38 51 eor
2001-05-13_09 15.8 0 0 25 1262 1 0 NA eor 1262 10 38 47 eor
