MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1996-04-03_14 -4.5 0.3 0 18 840 1 1 NA eor 840 10 26 96 eor
1996-04-03_15 -4.6 0.4 0 18 840 1 1 NA eor 840 10 26 96 eor
1996-04-03_16 -4.5 0.4 0 18 840 1 1 NA eor 840 10 26 96 eor
1996-04-03_17 -4.4 0.6 0 18 840 1 1 NA eor 840 10 26 96 eor
1996-04-03_18 -4.3 0.9 0 18 840 1 1 NA eor 840 10 26 96 eor
1996-04-03_19 -4.3 25 1 18 840 1 1 NA eor 840 10 26 96 eor
1996-04-03_20 -4.2 0.2 0 18 840 1 1 NA eor 840 10 26 96 eor
1996-04-03_21 -4.2 0.1 0 18 840 1 1 NA eor 840 10 26 96 eor
1996-04-03_22 -4.2 0 0 18 840 1 1 NA eor 840 10 26 96 eor
1996-04-03_23 -4.1 0 0 18 840 1 1 NA eor 840 10 26 96 eor
1996-04-04_00 -4.1 0 0 18 840 1 1 NA eor 840 10 26 96 eor
