MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1998-12-25_04 0.3 0 0 119 232 1 0 NA eor 232 10 26 92 eor
1998-12-25_05 0.1 0 0 119 232 1 0 NA eor 232 10 26 92 eor
1998-12-25_06 0.4 0 0 119 232 1 0 NA eor 232 10 26 84 eor
1998-12-25_07 -0.2 0 0 119 232 1 0 NA eor 232 10 26 81 eor
1998-12-25_08 -1 NA 0 119 NA NA NA NA NA 232 10 26 87 eor
1998-12-25_09 -0.1 12.8 1 119 232 1 1 NA eor 232 10 26 86 eor
1998-12-25_10 1 0 0 119 232 1 0 NA eor 232 10 26 84 eor
1998-12-25_11 1.4 0 0 119 232 1 0 NA eor 232 10 26 83 eor
1998-12-25_12 2.1 0 0 119 232 1 0 NA eor 232 10 26 82 eor
1998-12-25_13 2.8 0 0 119 232 1 0 NA eor 232 10 26 77 eor
1998-12-25_14 3.4 0 0 119 232 1 0 NA eor 232 10 26 74 eor
2001-01-14_18 -3.6 0 0 119 232 1 0 NA eor 232 10 26 63 eor
2001-01-14_19 -3.7 0 0 119 232 1 0 NA eor 232 10 26 65 eor
2001-01-14_20 -3.9 0 0 119 232 1 0 NA eor 232 10 26 66 eor
2001-01-14_21 -4.2 NA 0 119 NA NA NA NA NA 232 10 26 69 eor
2001-01-14_22 -4.7 6.7 0 119 232 1 1 NA eor 232 10 26 69 eor
2001-01-14_23 -4.8 37 1 119 232 1 1 NA eor 232 10 26 67 eor
2001-01-15_00 -5.2 NA 0 119 NA NA NA NA NA 232 10 26 67 eor
2001-01-15_01 -5.5 2.3 0 119 232 1 1 NA eor 232 10 26 67 eor
2001-01-15_02 -5.8 2.5 0 119 232 1 1 NA eor 232 10 26 68 eor
2001-01-15_03 -5.7 1.6 0 119 232 1 1 NA eor 232 10 26 66 eor
2001-01-15_04 -6.1 0.9 0 119 232 1 1 NA eor 232 10 26 69 eor
