MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1996-03-07_22 -2 0 0 88 4887 1 0 NA eor 4887 10 26 82 eor
1996-03-07_23 -2.4 0 0 88 4887 1 0 NA eor 4887 10 26 83 eor
1996-03-08_00 -3 0 0 88 4887 1 0 NA eor 4887 10 26 85 eor
1996-03-08_01 -3.2 0 0 88 4887 1 0 NA eor 4887 10 26 86 eor
1996-03-08_02 -3.6 0 0 88 4887 1 0 NA eor 4887 10 26 87 eor
1996-03-08_03 -4 10.5 1 88 4887 1 1 NA eor 4887 10 26 87 eor
1996-03-08_04 -4.3 0 0 88 4887 1 0 NA eor 4887 10 26 87 eor
1996-03-08_05 -4.6 0 0 88 4887 1 0 NA eor 4887 10 26 86 eor
1996-03-08_06 -4.8 0 0 88 4887 1 0 NA eor 4887 10 26 85 eor
1996-03-08_07 -4.8 0 0 88 4887 1 0 NA eor 4887 10 26 84 eor
1996-03-08_08 -4 0 0 88 4887 1 0 NA eor 4887 10 26 79 eor
1996-03-14_21 -1.4 0 0 88 4887 1 0 NA eor 4887 10 26 75 eor
1996-03-14_22 -1.6 0 0 88 4887 1 0 NA eor 4887 10 26 78 eor
1996-03-14_23 -2 0 0 88 4887 1 0 NA eor 4887 10 26 80 eor
1996-03-15_00 -2.4 0 0 88 4887 1 0 NA eor 4887 10 26 83 eor
1996-03-15_01 -2.9 0 0 88 4887 1 0 NA eor 4887 10 26 86 eor
1996-03-15_02 -3.5 10.4 1 88 4887 1 1 NA eor 4887 10 26 88 eor
1996-03-15_03 -3.9 0 0 88 4887 1 0 NA eor 4887 10 26 90 eor
1996-03-15_04 -4.3 0 0 88 4887 1 0 NA eor 4887 10 26 91 eor
1996-03-15_05 -4.4 0 0 88 4887 1 0 NA eor 4887 10 26 93 eor
1996-03-15_06 -4.5 0 0 88 4887 1 0 NA eor 4887 10 26 94 eor
1996-03-15_07 -4.6 0 0 88 4887 1 0 NA eor 4887 10 26 95 eor
