MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1999-03-29_03 4.7 0 0 100 5705 1 0 NA eor 5705 10 26 98 eor
1999-03-29_04 4.9 0 0 100 5705 1 0 NA eor 5705 10 26 98 eor
1999-03-29_05 4.9 0 0 100 5705 1 0 NA eor 5705 10 26 97 eor
1999-03-29_06 4.7 0 0 100 5705 1 1 NA eor 5705 10 26 98 eor
1999-03-29_07 4.8 0 0 100 5705 1 0 NA eor 5705 10 26 98 eor
1999-03-29_08 5 20 1 100 5705 1 1 NA eor 5705 10 26 98 eor
1999-03-29_09 5.3 0 0 100 5705 1 0 NA eor 5705 10 26 97 eor
1999-03-29_10 5.7 0 0 100 5705 1 0 NA eor 5705 10 26 95 eor
1999-03-29_11 6.1 0 0 100 5705 1 0 NA eor 5705 10 26 94 eor
1999-03-29_12 6.7 0 0 100 5705 1 0 NA eor 5705 10 26 89 eor
1999-03-29_13 7.1 0 0 100 5705 1 0 NA eor 5705 10 26 85 eor
