MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
2003-01-09_08 -16.6 0 0 17 704 1 0 NA eor 704 10 38 88 eor
2003-01-09_09 -16.2 0 0 17 704 1 0 NA eor 704 10 38 86 eor
2003-01-09_10 -11.3 0 0 17 704 1 0 NA eor 704 10 38 93 eor
2003-01-09_11 -11.6 0 0 17 704 1 0 NA eor 704 10 38 88 eor
2003-01-09_12 -11 0.1 0 17 704 1 1 NA eor 704 10 38 87 eor
2003-01-09_13 -10 4 1 17 704 1 1 NA eor 704 10 38 89 eor
2003-01-09_14 -9.2 3.2 0 17 704 1 1 NA eor 704 10 38 87 eor
2003-01-09_15 -9.5 0.2 0 17 704 1 1 NA eor 704 10 38 87 eor
2003-01-09_16 -11.1 0 0 17 704 1 0 NA eor 704 10 38 92 eor
2003-01-09_17 -12.6 0 0 17 704 1 0 NA eor 704 10 38 91 eor
2003-01-09_18 -13.8 0 0 17 704 1 0 NA eor 704 10 38 90 eor
