MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1996-01-01_17 0 0 0 108 2483 1 0 NA eor 2483 10 26 99 eor
1996-01-01_18 -0.6 0 0 108 2483 1 0 NA eor 2483 10 26 99 eor
1996-01-01_19 -0.8 0 0 108 2483 1 0 NA eor 2483 10 26 99 eor
1996-01-01_20 -0.7 0 0 108 2483 1 0 NA eor 2483 10 26 98 eor
1996-01-01_21 -0.7 0 0 108 2483 1 0 NA eor 2483 10 26 93 eor
1996-01-01_22 -1 10.1 1 108 2483 1 1 NA eor 2483 10 26 97 eor
1996-01-01_23 -1.2 0 0 108 2483 1 0 NA eor 2483 10 26 98 eor
1996-01-02_00 -1.5 0 0 108 2483 1 0 NA eor 2483 10 26 98 eor
1996-01-02_01 -1.7 0 0 108 2483 1 0 NA eor 2483 10 26 98 eor
1996-01-02_02 -1.5 0 0 108 2483 1 0 NA eor 2483 10 26 98 eor
1996-01-02_03 -0.9 0 0 108 2483 1 0 NA eor 2483 10 26 98 eor
2003-01-29_01 -3.1 0.1 0 108 2483 1 1 7 eor 2483 10 38 100 eor
2003-01-29_02 -2.7 0 0 108 2483 1 1 7 eor 2483 10 38 100 eor
2003-01-29_03 -2.5 0 0 108 2483 1 1 NA eor 2483 10 38 100 eor
2003-01-29_04 -2.4 0.1 0 108 2483 1 1 7 eor 2483 10 38 100 eor
2003-01-29_05 -2.4 1.5 0 108 2483 1 1 7 eor 2483 10 38 100 eor
2003-01-29_06 -2.3 13.4 1 108 2483 1 1 NA eor 2483 10 38 100 eor
2003-01-29_07 -2.4 0.1 0 108 2483 1 1 7 eor 2483 10 38 100 eor
2003-01-29_08 -2.3 0 0 108 2483 1 1 7 eor 2483 10 38 100 eor
2003-01-29_09 -2.3 0 0 108 2483 1 1 NA eor 2483 10 38 100 eor
2003-01-29_10 -2.1 0.3 0 108 2483 1 1 7 eor 2483 10 38 100 eor
2003-01-29_11 -2.1 0 0 108 2483 1 1 7 eor 2483 10 38 100 eor
