MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1997-12-10_13 7.2 20.7 1 127 953 1 1 NA eor 953 10 26 95 eor
1997-12-10_14 7.1 NA 0 127 NA NA NA NA NA 953 10 26 97 eor
1997-12-10_15 7.4 NA 0 127 NA NA NA NA NA 953 10 26 96 eor
1997-12-10_16 7.4 NA 0 127 NA NA NA NA NA 953 10 26 96 eor
1997-12-10_17 7.7 1 0 127 953 1 1 NA eor 953 10 26 97 eor
1997-12-10_18 8.1 0 0 127 953 1 1 NA eor 953 10 26 98 eor
2003-02-01_04 -10.1 0.7 0 127 953 1 1 NA eor 953 10 38 100 eor
2003-02-01_05 -10.3 1 0 127 953 1 1 NA eor 953 10 38 100 eor
2003-02-01_06 -9.9 NA 0 127 NA NA NA NA NA 953 10 38 97 eor
2003-02-01_07 -10.4 1.5 0 127 953 1 1 NA eor 953 10 38 100 eor
2003-02-01_08 -9.7 1.7 0 127 953 1 1 NA eor 953 10 38 96 eor
2003-02-01_09 -7.7 6.8 1 127 953 1 1 NA eor 953 10 38 93 eor
2003-02-01_10 -5.8 0.9 0 127 953 1 1 NA eor 953 10 38 84 eor
2003-02-01_11 -5.5 1.1 0 127 953 1 1 NA eor 953 10 38 80 eor
2003-02-01_12 -5.2 NA 0 127 NA NA NA NA NA 953 10 38 78 eor
2003-02-01_13 -4.5 0 0 127 953 1 0 NA eor 953 10 38 78 eor
2003-02-01_14 -4.7 0 0 127 953 1 0 NA eor 953 10 38 78 eor
