MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1998-11-20_06 -6 0 0 11 460 1 0 NA eor 460 10 26 93 eor
1998-11-20_07 -6 0 0 11 460 1 0 NA eor 460 10 26 93 eor
1998-11-20_08 -6.4 0 0 11 460 1 0 NA eor 460 10 26 93 eor
1998-11-20_09 -5 0 0 11 460 1 0 NA eor 460 10 26 94 eor
1998-11-20_10 -3.8 0 0 11 460 1 0 NA eor 460 10 26 90 eor
1998-11-20_11 -2.8 9.9 1 11 460 1 1 NA eor 460 10 26 85 eor
1998-11-20_12 -2.1 0 0 11 460 1 0 NA eor 460 10 26 80 eor
1998-11-20_13 -1.5 0 0 11 460 1 0 NA eor 460 10 26 75 eor
1998-11-20_14 -1.4 0 0 11 460 1 0 NA eor 460 10 26 71 eor
1998-11-20_15 -1.6 0 0 11 460 1 0 NA eor 460 10 26 74 eor
1998-11-20_16 -2.4 0 0 11 460 1 0 NA eor 460 10 26 76 eor
