MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
2004-12-19_23 -3.2 1.4 0 66 3366 1 1 NA eor 3366 10 38 81 eor
2004-12-20_00 -4.2 0 0 66 3366 1 0 NA eor 3366 10 38 79 eor
2004-12-20_01 -7.5 0 0 66 3366 1 0 NA eor 3366 10 38 84 eor
2004-12-20_02 -9.3 1.8 0 66 3366 1 1 NA eor 3366 10 38 88 eor
2004-12-20_03 -9.5 0 0 66 3366 1 0 NA eor 3366 10 38 92 eor
2004-12-20_04 -10.2 6.8 1 66 3366 1 1 NA eor 3366 10 38 90 eor
2004-12-20_05 -11.2 0 0 66 3366 1 0 0 eor 3366 10 38 90 eor
2004-12-20_06 -11.8 0 0 66 3366 1 0 NA eor 3366 10 38 89 eor
2004-12-20_07 -11.7 0 0 66 3366 1 0 0 eor 3366 10 38 92 eor
2004-12-20_08 -11.3 0 0 66 3366 1 0 0 eor 3366 10 38 92 eor
2004-12-20_09 -9 0 0 66 3366 1 0 NA eor 3366 10 38 95 eor
