MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1995-12-24_16 -1.9 0 0 26 1270 1 1 NA eor 1270 7 26 97 eor
1995-12-24_17 -1.9 NA 0 26 NA NA NA NA NA 1270 7 26 97 eor
1995-12-24_18 -1.9 0 0 26 1270 1 1 NA eor 1270 7 26 97 eor
1995-12-24_19 -1.7 NA 0 26 NA NA NA NA NA 1270 7 26 97 eor
1995-12-24_20 -1.7 NA 0 26 NA NA NA NA NA 1270 7 26 97 eor
1995-12-24_21 -1.8 10.2 1 26 1270 1 1 NA eor 1270 7 26 97 eor
1995-12-24_22 -1.9 0 0 26 1270 1 1 NA eor 1270 7 26 97 eor
1995-12-24_23 -1.8 NA 0 26 NA NA NA NA NA 1270 7 26 97 eor
1995-12-25_00 -1.9 NA 0 26 NA NA NA NA NA 1270 7 26 97 eor
1995-12-25_01 -1.8 NA 0 26 NA NA NA NA NA 1270 7 26 97 eor
1995-12-25_02 -1.4 NA 0 26 NA NA NA NA NA 1270 7 26 97 eor
1997-12-15_02 -0.2 0 0 26 1270 1 1 NA eor 1270 10 26 97 eor
1997-12-15_03 -0.1 0 0 26 1270 1 1 NA eor 1270 10 26 97 eor
1997-12-15_04 -0.1 0 0 26 1270 1 1 NA eor 1270 10 26 98 eor
1997-12-15_05 -0.6 0.1 0 26 1270 1 1 NA eor 1270 10 26 98 eor
1997-12-15_06 -1 0 0 26 1270 1 1 NA eor 1270 10 26 98 eor
1997-12-15_07 -1.3 34.9 1 26 1270 1 1 NA eor 1270 10 26 98 eor
1997-12-15_08 -1.7 NA 0 26 NA NA NA NA NA 1270 10 26 98 eor
1997-12-15_09 -2.6 0 0 26 1270 1 0 NA eor 1270 10 26 97 eor
1997-12-15_10 -3 0 0 26 1270 1 0 NA eor 1270 10 26 97 eor
1997-12-15_11 -3.6 0 0 26 1270 1 1 NA eor 1270 10 26 95 eor
1997-12-15_12 -3.8 0 0 26 1270 1 1 NA eor 1270 10 26 93 eor
