MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1996-02-01_15 -0.7 0 0 40 1869 1 0 NA eor 1869 10 26 62 eor
1996-02-01_16 -2.3 NA 0 40 NA NA NA NA NA 1869 10 26 70 eor
1996-02-01_17 -4.8 0 0 40 1869 1 0 NA eor 1869 10 26 77 eor
1996-02-01_18 -5.5 0 0 40 1869 1 0 NA eor 1869 10 26 81 eor
1996-02-01_19 -6.4 0 0 40 1869 1 0 NA eor 1869 10 26 81 eor
1996-02-01_20 -5.9 22.6 1 40 1869 1 1 NA eor 1869 10 26 82 eor
1996-02-01_21 -6.4 0 0 40 1869 1 0 NA eor 1869 10 26 84 eor
1996-02-01_22 -4.9 0 0 40 1869 1 0 NA eor 1869 10 26 84 eor
1996-02-01_23 -6.9 0 0 40 1869 1 0 NA eor 1869 10 26 84 eor
1996-02-02_00 -7.5 22.6 1 40 1869 1 1 NA eor 1869 10 26 86 eor
1996-02-02_01 -8.5 0 0 40 1869 1 0 NA eor 1869 10 26 88 eor
1996-02-02_02 -10.1 0 0 40 1869 1 0 NA eor 1869 10 26 90 eor
1996-02-02_03 -8.4 0 0 40 1869 1 0 NA eor 1869 10 26 91 eor
1996-02-02_04 -8.4 0 0 40 1869 1 0 NA eor 1869 10 26 88 eor
1996-02-02_05 -9 0 0 40 1869 1 0 NA eor 1869 10 26 87 eor
