MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
2001-02-13_17 3.1 NA 0 143 NA NA NA NA NA 1759 10 26 91 eor
2001-02-13_18 3.1 0 0 143 1759 1 0 NA eor 1759 10 26 91 eor
2001-02-13_19 2.6 NA 0 143 NA NA NA NA NA 1759 10 26 94 eor
2001-02-13_20 2.3 NA 0 143 NA NA NA NA NA 1759 10 26 95 eor
2001-02-13_21 2.6 0 0 143 1759 1 0 NA eor 1759 10 26 95 eor
2001-02-13_22 2.2 20 1 143 1759 1 1 NA eor 1759 10 26 95 eor
2001-02-13_23 1.8 NA 0 143 NA NA NA NA NA 1759 10 26 97 eor
2001-02-14_00 2.2 0 0 143 1759 1 0 NA eor 1759 10 26 92 eor
2001-02-14_01 1.8 NA 0 143 NA NA NA NA NA 1759 10 26 95 eor
2001-02-14_02 1.8 NA 0 143 NA NA NA NA NA 1759 10 26 94 eor
2001-02-14_03 1.6 0 0 143 1759 1 0 NA eor 1759 10 26 95 eor
