MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
2012-01-05_05 0.1 1 0 135 5371 3 1 8 eor 5371 7 38 100 eor
2012-01-05_06 0.1 1.2 0 135 5371 3 1 NA eor 5371 7 38 100 eor
2012-01-05_07 0.8 0.6 0 135 5371 3 1 8 eor 5371 7 38 100 eor
2012-01-05_08 1.1 0.3 0 135 5371 3 1 8 eor 5371 7 38 100 eor
2012-01-05_09 1.5 0.3 0 135 5371 3 1 NA eor 5371 7 38 100 eor
2012-01-05_10 -1.3 11.8 1 135 5371 3 1 8 eor 5371 7 38 100 eor
2012-01-05_11 -1.5 3.8 0 135 5371 3 1 7 eor 5371 7 38 100 eor
2012-01-05_12 -1.1 0 0 135 5371 3 1 NA eor 5371 7 38 100 eor
2012-01-05_13 -0.7 0 0 135 5371 3 1 7 eor 5371 7 38 100 eor
2012-01-05_14 -0.5 0.3 0 135 5371 3 1 7 eor 5371 7 38 100 eor
2012-01-05_15 -1 0.6 0 135 5371 3 1 NA eor 5371 7 38 100 eor
