MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1996-03-12_01 -12.6 0.3 0 138 1358 1 1 NA eor 1358 10 26 100 eor
1996-03-12_02 -12.7 0.6 0 138 1358 1 1 NA eor 1358 10 26 100 eor
1996-03-12_03 -12.9 0 0 138 1358 1 1 NA eor 1358 10 26 96 eor
1996-03-12_04 -13.4 0 0 138 1358 1 1 NA eor 1358 10 26 100 eor
1996-03-12_05 -13.5 0 0 138 1358 1 1 NA eor 1358 10 26 100 eor
1996-03-12_06 -13.5 4.9 1 138 1358 1 1 NA eor 1358 10 26 100 eor
1996-03-12_07 -13.4 0.9 0 138 1358 1 1 NA eor 1358 10 26 100 eor
1996-03-12_08 -13.1 2.2 0 138 1358 1 1 NA eor 1358 10 26 100 eor
1996-03-12_09 -12.5 2.2 0 138 1358 1 1 NA eor 1358 10 26 100 eor
1996-03-12_10 -11.8 1.6 0 138 1358 1 1 NA eor 1358 10 26 100 eor
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1996-03-12_11 -11.4 2.2 0 138 1358 1 1 NA eor 1358 10 26 100 eor
2008-04-11_18 8.1 0 0 138 1358 3 0 NA eor 1358 7 38 100 eor
2008-04-11_19 7.6 0 0 138 1358 3 0 0 eor 1358 7 38 100 eor
2008-04-11_20 7.1 0 0 138 1358 3 0 0 eor 1358 7 38 100 eor
2008-04-11_21 7.1 0 0 138 1358 3 0 NA eor 1358 7 38 100 eor
2008-04-11_22 6 0.1 0 138 1358 3 1 8 eor 1358 7 38 100 eor
2008-04-11_23 0.1 18.2 1 138 1358 3 1 8 eor 1358 7 38 100 eor
2008-04-12_00 -1.8 NA 0 138 NA NA NA NA NA 1358 7 38 100 eor
2008-04-12_01 -2.6 3 0 138 1358 3 1 7 eor 1358 7 38 100 eor
2008-04-12_02 -2.6 1.5 0 138 1358 3 1 7 eor 1358 7 38 100 eor
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2008-04-12_03 -2.4 0.1 0 138 1358 3 1 NA eor 1358 7 38 100 eor
2008-04-12_04 -2.3 0 0 138 1358 3 1 7 eor 1358 7 38 100 eor
2009-02-02_10 -5.1 0 0 138 1358 3 0 0 eor 1358 7 38 96 eor
2009-02-02_11 -4.8 0 0 138 1358 3 0 0 eor 1358 7 38 100 eor
2009-02-02_12 -4.6 0 0 138 1358 3 0 NA eor 1358 7 38 100 eor
2009-02-02_13 -4.4 0 0 138 1358 3 0 0 eor 1358 7 38 100 eor
2009-02-02_14 -4.3 0 0 138 1358 3 0 0 eor 1358 7 38 100 eor
2009-02-02_15 -4.5 10 1 138 1358 3 1 NA eor 1358 7 38 100 eor
2009-02-02_16 -4.4 0 0 138 1358 3 0 0 eor 1358 7 38 100 eor
2009-02-02_17 -4.3 0 0 138 1358 3 0 0 eor 1358 7 38 100 eor
2009-02-02_18 -4.2 0 0 138 1358 3 0 NA eor 1358 7 38 100 eor
2009-02-02_19 -4.1 0 0 138 1358 3 0 0 eor 1358 7 38 100 eor
2009-02-02_20 -4 0 0 138 1358 3 0 0 eor 1358 7 38 100 eor
