MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1999-12-16_19 -9.6 0 0 48 2638 1 1 NA eor 2638 10 26 89 eor
1999-12-16_20 -9.6 0 0 48 2638 1 1 NA eor 2638 10 26 89 eor
1999-12-16_21 -10.1 0 0 48 2638 1 0 NA eor 2638 10 26 89 eor
1999-12-16_22 -10.1 0 0 48 2638 1 0 NA eor 2638 10 26 89 eor
1999-12-16_23 -9.1 0 0 48 2638 1 0 NA eor 2638 10 26 90 eor
1999-12-17_00 -8.7 10.9 1 48 2638 1 1 NA eor 2638 10 26 90 eor
1999-12-17_01 -8.6 11 1 48 2638 1 1 NA eor 2638 10 26 90 eor
1999-12-17_02 -8.9 11 1 48 2638 1 1 NA eor 2638 10 26 90 eor
1999-12-17_03 -8.3 11 1 48 2638 1 1 NA eor 2638 10 26 90 eor
1999-12-17_04 -8.4 11 1 48 2638 1 1 NA eor 2638 10 26 90 eor
1999-12-17_05 -8.2 10.9 1 48 2638 1 1 NA eor 2638 10 26 90 eor
1999-12-17_06 -10.6 0 0 48 2638 1 0 NA eor 2638 10 26 89 eor
1999-12-17_07 -8 0 0 48 2638 1 0 NA eor 2638 10 26 89 eor
1999-12-17_08 -7.1 0 0 48 2638 1 0 NA eor 2638 10 26 83 eor
1999-12-17_09 -6.2 0 0 48 2638 1 0 NA eor 2638 10 26 79 eor
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1999-12-17_10 -5.7 0 0 48 2638 1 0 NA eor 2638 10 26 70 eor
2003-01-07_10 -8.9 0.1 0 48 2638 1 1 NA eor 2638 10 38 90 eor
2003-01-07_11 -8.7 0 0 48 2638 1 1 NA eor 2638 10 38 88 eor
2003-01-07_12 -8.8 0 0 48 2638 1 1 NA eor 2638 10 38 90 eor
2003-01-07_13 -8.9 0 0 48 2638 1 1 NA eor 2638 10 38 88 eor
2003-01-07_14 -8.7 0 0 48 2638 1 1 NA eor 2638 10 38 87 eor
2003-01-07_15 -9.4 19.7 1 48 2638 1 1 NA eor 2638 10 38 89 eor
2003-01-07_16 -10.2 0 0 48 2638 1 1 NA eor 2638 10 38 89 eor
2003-01-07_17 -10.3 0 0 48 2638 1 1 NA eor 2638 10 38 89 eor
2003-01-07_18 -11 0 0 48 2638 1 1 NA eor 2638 10 38 87 eor
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2003-01-07_19 -10.7 0 0 48 2638 1 1 NA eor 2638 10 38 91 eor
2003-01-07_20 -10.9 0 0 48 2638 1 1 NA eor 2638 10 38 89 eor
2005-01-27_06 -12.3 0 0 48 2638 3 1 NA eor 2638 10 38 87 eor
2005-01-27_07 -12.4 0 0 48 2638 3 1 NA eor 2638 10 38 88 eor
2005-01-27_08 -12.6 0.1 0 48 2638 3 1 NA eor 2638 10 38 88 eor
2005-01-27_09 -11.6 0.6 0 48 2638 3 1 NA eor 2638 10 38 86 eor
2005-01-27_10 -11 0.6 0 48 2638 3 1 NA eor 2638 10 38 82 eor
2005-01-27_11 -10.1 6.5 1 48 2638 3 1 NA eor 2638 10 38 81 eor
2005-01-27_12 -9.9 0.4 0 48 2638 3 1 NA eor 2638 10 38 77 eor
2005-01-27_13 -9.9 0 0 48 2638 3 1 NA eor 2638 10 38 77 eor
2005-01-27_14 -10.1 0 0 48 2638 3 1 NA eor 2638 10 38 79 eor
2005-01-27_15 -10.6 0 0 48 2638 3 1 NA eor 2638 10 38 80 eor
2005-01-27_16 -11.8 0 0 48 2638 3 0 NA eor 2638 10 38 84 eor
