MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1997-12-02_14 0.4 0 0 122 1639 1 0 NA eor 1639 10 26 75 eor
1997-12-02_15 0.5 0 0 122 1639 1 1 NA eor 1639 10 26 76 eor
1997-12-02_16 -0.2 0.1 0 122 1639 1 1 NA eor 1639 10 26 91 eor
1997-12-02_17 -0.5 0.3 0 122 1639 1 1 NA eor 1639 10 26 95 eor
1997-12-02_18 -0.4 0.6 0 122 1639 1 1 NA eor 1639 10 26 96 eor
1997-12-02_19 -0.4 16.1 1 122 1639 1 1 NA eor 1639 10 26 97 eor
1997-12-02_20 -0.4 0.7 0 122 1639 1 1 NA eor 1639 10 26 98 eor
1997-12-02_21 -0.5 0.5 0 122 1639 1 1 NA eor 1639 10 26 98 eor
1997-12-02_22 -0.9 0.4 0 122 1639 1 1 NA eor 1639 10 26 97 eor
1997-12-02_23 -1.4 0.1 0 122 1639 1 1 NA eor 1639 10 26 95 eor
1997-12-03_00 -1.5 0 0 122 1639 1 1 NA eor 1639 10 26 94 eor
1998-11-24_03 -1.7 0 0 122 1639 1 1 NA eor 1639 10 26 92 eor
1998-11-24_04 -1.7 0 0 122 1639 1 1 NA eor 1639 10 26 93 eor
1998-11-24_05 -1.7 0 0 122 1639 1 0 NA eor 1639 10 26 93 eor
1998-11-24_06 -1.7 0 0 122 1639 1 0 NA eor 1639 10 26 92 eor
1998-11-24_07 -1.7 0 0 122 1639 1 0 NA eor 1639 10 26 92 eor
1998-11-24_08 -1.5 16.7 1 122 1639 1 1 NA eor 1639 10 26 92 eor
1998-11-24_09 -1.2 0 0 122 1639 1 0 NA eor 1639 10 26 90 eor
1998-11-24_10 -0.8 0 0 122 1639 1 0 NA eor 1639 10 26 88 eor
1998-11-24_11 -0.4 0 0 122 1639 1 0 NA eor 1639 10 26 87 eor
1998-11-24_12 -0.1 0 0 122 1639 1 0 NA eor 1639 10 26 86 eor
1998-11-24_13 0 0 0 122 1639 1 0 NA eor 1639 10 26 85 eor
