MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1996-02-05_23 -14.1 0 0 63 3196 1 0 NA eor 3196 10 26 91 eor
1996-02-06_00 -14.6 0 0 63 3196 1 0 NA eor 3196 10 26 91 eor
1996-02-06_01 -15.1 0 0 63 3196 1 0 NA eor 3196 10 26 91 eor
1996-02-06_02 -14.9 0 0 63 3196 1 0 NA eor 3196 10 26 91 eor
1996-02-06_03 -14.9 0 0 63 3196 1 0 NA eor 3196 10 26 91 eor
1996-02-06_04 -15.3 12.5 1 63 3196 1 1 NA eor 3196 10 26 91 eor
1996-02-06_05 -17.1 0 0 63 3196 1 0 NA eor 3196 10 26 88 eor
1996-02-06_06 -17.2 0 0 63 3196 1 0 NA eor 3196 10 26 88 eor
1996-02-06_07 -17.2 0 0 63 3196 1 0 NA eor 3196 10 26 88 eor
1996-02-06_08 -17.3 0 0 63 3196 1 0 NA eor 3196 10 26 88 eor
1996-02-06_09 -12.4 0 0 63 3196 1 0 NA eor 3196 10 26 88 eor
