MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1999-10-01_04 8.6 0.2 0 67 3513 1 1 NA eor 3513 10 26 100 eor
1999-10-01_05 8.7 1.8 0 67 3513 1 1 NA eor 3513 10 26 100 eor
1999-10-01_06 7.8 5.3 0 67 3513 1 1 NA eor 3513 10 26 100 eor
1999-10-01_07 7.5 0.3 0 67 3513 1 1 NA eor 3513 10 26 100 eor
1999-10-01_08 7.5 0.4 0 67 3513 1 1 NA eor 3513 10 26 100 eor
1999-10-01_09 6.9 21 1 67 3513 1 1 NA eor 3513 10 26 100 eor
1999-10-01_10 6.2 6.9 0 67 3513 1 1 NA eor 3513 10 26 100 eor
1999-10-01_11 7.6 3.6 0 67 3513 1 1 NA eor 3513 10 26 100 eor
1999-10-01_12 8.2 0 0 67 3513 1 0 NA eor 3513 10 26 100 eor
1999-10-01_13 8.4 0 0 67 3513 1 0 NA eor 3513 10 26 99 eor
1999-10-01_14 8.8 0 0 67 3513 1 0 NA eor 3513 10 26 94 eor
2011-12-14_11 2.8 0.3 0 67 3513 3 1 8 eor 3513 7 38 99 eor
2011-12-14_12 2.9 0.1 0 67 3513 3 1 NA eor 3513 7 38 99 eor
2011-12-14_13 3.4 0.5 0 67 3513 3 1 6 eor 3513 7 38 99 eor
2011-12-14_14 3.3 1.5 0 67 3513 3 1 8 eor 3513 7 38 98 eor
2011-12-14_15 3.1 1.4 0 67 3513 3 1 NA eor 3513 7 38 99 eor
2011-12-14_16 0.6 14 1 67 3513 3 1 7 eor 3513 7 38 99 eor
2011-12-14_17 1 0.1 0 67 3513 3 1 7 eor 3513 7 38 100 eor
2011-12-14_18 1.3 0 0 67 3513 3 0 NA eor 3513 7 38 99 eor
2011-12-14_19 1.4 0 0 67 3513 3 0 0 eor 3513 7 38 99 eor
2011-12-14_20 0.8 0.1 0 67 3513 3 1 7 eor 3513 7 38 98 eor
2011-12-14_21 0.3 0.2 0 67 3513 3 1 NA eor 3513 7 38 99 eor
