MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
2002-01-02_03 -3.6 1.3 0 62 3166 1 1 NA eor 3166 10 38 87 eor
2002-01-02_04 -3.8 0.7 0 62 3166 1 1 NA eor 3166 10 38 89 eor
2002-01-02_05 -3.9 0.5 0 62 3166 1 1 NA eor 3166 10 38 91 eor
2002-01-02_06 -4 0.2 0 62 3166 1 1 NA eor 3166 10 38 98 eor
2002-01-02_07 -3.9 3.6 0 62 3166 1 1 NA eor 3166 10 38 98 eor
2002-01-02_08 -3.1 9.3 1 62 3166 1 1 NA eor 3166 10 38 98 eor
2002-01-02_09 -2.7 7 0 62 3166 1 1 NA eor 3166 10 38 97 eor
2002-01-02_10 -2.6 4.1 0 62 3166 1 1 NA eor 3166 10 38 98 eor
2002-01-02_11 -2.6 1.1 0 62 3166 1 1 NA eor 3166 10 38 99 eor
2002-01-02_12 -2.5 0.2 0 62 3166 1 1 NA eor 3166 10 38 100 eor
2002-01-02_13 -2.4 0.1 0 62 3166 1 1 NA eor 3166 10 38 100 eor
