MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
1996-12-20_09 -2.8 0 0 82 4464 1 1 NA eor 4464 10 26 90 eor
1996-12-20_10 -2.5 0 0 82 4464 1 1 NA eor 4464 10 26 85 eor
1996-12-20_11 -2.3 0 0 82 4464 1 1 NA eor 4464 10 26 84 eor
1996-12-20_12 -2.1 0 0 82 4464 1 1 NA eor 4464 10 26 84 eor
1996-12-20_13 -2.2 NA 0 82 NA NA NA NA NA 4464 10 26 84 eor
1996-12-20_14 -1.6 11.2 1 82 4464 1 1 NA eor 4464 10 26 75 eor
1996-12-20_15 -1.7 0.8 0 82 4464 1 1 NA eor 4464 10 26 72 eor
1996-12-20_16 -1.8 0.1 0 82 4464 1 1 NA eor 4464 10 26 73 eor
1996-12-20_17 -2 0 0 82 4464 1 1 NA eor 4464 10 26 77 eor
1996-12-20_18 -2.5 0 0 82 4464 1 1 NA eor 4464 10 26 79 eor
1996-12-20_19 -3.1 0 0 82 4464 1 0 NA eor 4464 10 26 81 eor
