MESS_DATUM LUFTTEMPERATUR NIEDERSCHLAGSHOEHE outlier IDberry STATIONS_ID.x QUALITAETS_NIVEAU.x NIEDERSCHLAG_GEFALLEN_IND NIEDERSCHLAGSFORM eor.x STATIONS_ID.y QUALITAETS_NIVEAU.y STRUKTUR_VERSION REL_FEUCHTE eor.y
2001-12-19_19 -10.7 0 0 45 2559 1 0 0 eor 2559 10 38 95 eor
2001-12-19_20 -8.4 0 0 45 2559 1 0 0 eor 2559 10 38 100 eor
2001-12-19_21 -7.1 0 0 45 2559 1 0 NA eor 2559 10 38 98 eor
2001-12-19_22 -6.3 0 0 45 2559 1 1 7 eor 2559 10 38 96 eor
2001-12-19_23 -6 0 0 45 2559 1 1 7 eor 2559 10 38 95 eor
2001-12-20_00 -5.8 10.4 1 45 2559 1 1 NA eor 2559 10 38 94 eor
2001-12-20_01 -5.5 0 0 45 2559 1 0 0 eor 2559 10 38 93 eor
2001-12-20_02 -5.1 0 0 45 2559 1 0 0 eor 2559 10 38 91 eor
2001-12-20_03 -5.4 0 0 45 2559 1 0 NA eor 2559 10 38 88 eor
2001-12-20_04 -4.9 0 0 45 2559 1 0 0 eor 2559 10 38 85 eor
2001-12-20_05 -4.3 0 0 45 2559 1 1 7 eor 2559 10 38 87 eor
